item_id,identifier,short_effect
1,master-ball,Catches a wild Pokémon every time.
2,ultra-ball,Tries to catch a wild Pokémon.  Success rate is 2×.
3,great-ball,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,poke-ball,Tries to catch a wild Pokémon.
5,safari-ball,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,net-ball,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,dive-ball,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,nest-ball,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,repeat-ball,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,timer-ball,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,luxury-ball,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,premier-ball,Tries to catch a wild Pokémon.
13,dusk-ball,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,heal-ball,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,quick-ball,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,cherish-ball,Tries to catch a wild Pokémon.
17,potion,Restores 20 HP.
18,antidote,Cures poison.
19,burn-heal,Cures a burn.
20,ice-heal,Cures freezing.
21,awakening,Cures sleep.
22,paralyze-heal,Cures paralysis.
23,full-restore,Restores HP to full and cures any status ailment and confusion.
24,max-potion,Restores HP to full.
25,hyper-potion,Restores 200 HP.
26,super-potion,Restores 50 HP.
27,full-heal,Cures any status ailment and confusion.
28,revive,Revives with half HP.
29,max-revive,Revives with full HP.
30,fresh-water,Restores 50 HP.
31,soda-pop,Restores 60 HP.
32,lemonade,Restores 80 HP.
33,moomoo-milk,Restores 100 HP.
34,energy-powder,"Restores 50 HP, but lowers happiness."
35,energy-root,"Restores 200 HP, but lowers happiness."
36,heal-powder,"Cures any status ailment, but lowers happiness."
37,revival-herb,"Revives with full HP, but lowers happiness."
38,ether,Restores 10 PP for one move.
39,max-ether,Restores PP to full for one move.
40,elixir,Restores 10 PP for each move.
41,max-elixir,Restores PP to full for each move.
42,lava-cookie,Cures any status ailment and confusion.
43,berry-juice,Restores 20 HP.
44,sacred-ash,Revives all fainted Pokémon with full HP.
45,hp-up,Raises HP effort and happiness.
46,protein,Raises Attack effort and happiness.
47,iron,Raises Defense effort and happiness.
48,carbos,Raises Speed effort and happiness.
49,calcium,Raises Special Attack effort and happiness.
50,rare-candy,Causes a level-up and raises happiness.
51,pp-up,Raises a move's max PP by 20%.
52,zinc,Raises Special Defense and happiness.
53,pp-max,Raises a move's max PP by 60%.
54,old-gateau,Cures any status ailment and confusion.
55,guard-spec,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,dire-hit,Increases the chance of a critical hit in battle.  Raises happiness.
57,x-attack,Raises Attack by one stage in battle.  Raises happiness.
58,x-defense,Raises Defense by one stage in battle.  Raises happiness.
59,x-speed,Raises Speed by one stage in battle.  Raises happiness.
60,x-accuracy,Raises accuracy by one stage in battle.  Raises happiness.
61,x-sp-atk,Raises Special Attack by one stage in battle.  Raises happiness.
62,x-sp-def,Raises Special Defense by one stage in battle.  Raises happiness.
63,poke-doll,Ends a wild battle.
64,fluffy-tail,Ends a wild battle.
65,blue-flute,Cures sleep.
66,yellow-flute,Cures confusion.
67,red-flute,Cures attraction.
68,black-flute,Halves the wild Pokémon encounter rate.
69,white-flute,Doubles the wild Pokémon encounter rate.
70,super-repel,"For 200 steps, prevents wild encounters of level lower than your party's lead Pokémon."
71,max-repel,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon."
72,escape-rope,Transports user to the outside entrance of a cave.
73,repel,"For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon."
74,sun-stone,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora."
75,moon-stone,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty."
76,fire-stone,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales."
77,thunder-stone,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu."
78,water-stone,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie."
79,leaf-stone,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel."
80,tiny-mushroom,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars."
81,big-mushroom,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars."
82,pearl,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars."
83,big-pearl,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars."
84,stardust,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars."
85,star-piece,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars."
86,nugget,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars."
87,heart-scale,No effect. Can be traded for prior Level-up moves.
88,honey,Tastes good.
89,growth-mulch,"Growing time of berries is reduced, but the soil dries out faster."
90,damp-mulch,"Growing time of berries is increased, but the soil dries out slower."
91,stable-mulch,Berries stay on the plant for longer than their usual time.
92,gooey-mulch,Berries regrow from dead plants an increased number of times.
93,root-fossil,Can be revived into a Lileep.
94,claw-fossil,Can be revived into an Anorith.
95,helix-fossil,Can be revived into an Omanyte.
96,dome-fossil,Can be revived into a Kabuto.
97,old-amber,Can be revived into an Aerodactyl.
98,armor-fossil,Can be revived into a Shieldon.
99,skull-fossil,Can be revived into a Cranidos.
100,rare-bone,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars."
101,cheri-berry,Held: Consumed when paralyzed to cure paralysis.
102,chesto-berry,Held: Consumed when asleep to cure sleep.
103,pecha-berry,Held: Consumed when poisoned to cure poison.
104,rawst-berry,Held: Consumed when burned to cure a burn.
105,aspear-berry,Held: Consumed when frozen to cure frozen.
106,leppa-berry,Held: Consumed when a move runs out of PP to restore its PP by 10.
107,oran-berry,Held: Consumed at 1/2 max HP to recover 10 HP.
108,persim-berry,Held: Consumed when confused to cure confusion.
109,lum-berry,Held: Consumed to cure any status condition or confusion.
110,sitrus-berry,Held: Consumed at 1/2 max HP to recover 1/4 max HP.
111,figy-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.
112,wiki-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.
113,mago-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.
114,aguav-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.
115,iapapa-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.
116,razz-berry,Used for creating PokéBlocks and Poffins.
117,bluk-berry,Used for creating PokéBlocks and Poffins.
118,nanab-berry,Used for creating PokéBlocks and Poffins.
119,wepear-berry,Used for creating PokéBlocks and Poffins.
120,pinap-berry,Used for creating PokéBlocks and Poffins.
121,pomeg-berry,Drops HP Effort Values by 10 and raises happiness.
122,kelpsy-berry,Drops Attack Effort Values by 10 and raises happiness.
123,qualot-berry,Drops Defense Effort Values by 10 and raises happiness.
124,hondew-berry,Drops Special Attack Effort Values by 10 and raises happiness.
125,grepa-berry,Drops Special Defense Effort Values by 10 and raises happiness.
126,tamato-berry,Drops Speed Effort Values by 10 and raises happiness.
127,cornn-berry,Used for creating PokéBlocks and Poffins.
128,magost-berry,Used for creating PokéBlocks and Poffins.
129,rabuta-berry,Used for creating PokéBlocks and Poffins.
130,nomel-berry,Used for creating PokéBlocks and Poffins.
131,spelon-berry,Used for creating PokéBlocks and Poffins.
132,pamtre-berry,Used for creating PokéBlocks and Poffins.
133,watmel-berry,Used for creating PokéBlocks and Poffins.
134,durin-berry,Used for creating PokéBlocks and Poffins.
135,belue-berry,Used for creating PokéBlocks and Poffins.
136,occa-berry,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.
137,passho-berry,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.
138,wacan-berry,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.
139,rindo-berry,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.
